subject,test_accuracy,test_kappa,best_val_acc,best_epoch,total_params
B01,0.490625,-0.018750000000000044,0.7538461538461538,45,26026
B02,0.4982142857142857,-0.0035714285714285587,0.6363636363636364,97,26026
B03,0.5046875,0.009375000000000022,0.6166666666666667,7,26026
B04,0.5203125,0.04062500000000002,0.8125,20,26026
B05,0.4859375,-0.028124999999999956,0.7792207792207793,52,26026
B06,0.5,0.0,0.711864406779661,29,26026
B07,0.50625,0.012499999999999956,0.6805555555555556,8,26026
B08,0.515625,0.03125,0.6818181818181818,28,26026
B09,0.546875,0.09375,0.6875,15,26026
