epoch,train_loss,train_acc,val_loss,val_acc
1,0.7160579860210419,0.4765625,0.6932165026664734,0.484375
2,0.6811030507087708,0.578125,0.6930810809135437,0.515625
3,0.6829013079404831,0.54296875,0.693065345287323,0.515625
4,0.6529310345649719,0.609375,0.693050742149353,0.515625
5,0.6518350839614868,0.62109375,0.6930373907089233,0.515625
6,0.628170520067215,0.69140625,0.6929687857627869,0.515625
7,0.6226428151130676,0.66015625,0.6929605603218079,0.515625
8,0.6302150934934616,0.69140625,0.692969560623169,0.515625
9,0.6180869787931442,0.65625,0.6931574940681458,0.484375
10,0.6091257035732269,0.6875,0.6932984590530396,0.484375
11,0.6071985512971878,0.671875,0.6940150856971741,0.484375
12,0.5831693410873413,0.703125,0.695097804069519,0.484375
13,0.5818954706192017,0.71484375,0.6965744495391846,0.484375
14,0.5827319622039795,0.671875,0.6998140215873718,0.484375
15,0.5645317137241364,0.734375,0.7064985036849976,0.484375
16,0.5702367722988129,0.71875,0.7067837119102478,0.484375
17,0.5545512735843658,0.72265625,0.7056578993797302,0.484375
18,0.5220065712928772,0.7890625,0.7064511775970459,0.484375
19,0.5616478025913239,0.7265625,0.7048436403274536,0.484375
20,0.537674218416214,0.73046875,0.6967028379440308,0.484375
21,0.5350101962685585,0.7421875,0.693838894367218,0.484375
22,0.5411744341254234,0.7265625,0.6829350590705872,0.640625
23,0.5450456738471985,0.72265625,0.6770296096801758,0.59375
24,0.5712214708328247,0.69921875,0.6748673915863037,0.53125
25,0.520701453089714,0.75,0.6690026521682739,0.546875
26,0.5182735547423363,0.7421875,0.6600656509399414,0.625
27,0.5227890908718109,0.76953125,0.6544539928436279,0.640625
28,0.5112722367048264,0.7890625,0.6509251594543457,0.65625
29,0.5128650367259979,0.7421875,0.648995041847229,0.59375
30,0.5177741199731827,0.7734375,0.6707242727279663,0.640625
31,0.5056562572717667,0.73046875,0.8799668550491333,0.53125
32,0.49995679408311844,0.76171875,0.9729199409484863,0.515625
33,0.4725601077079773,0.7890625,0.9812663793563843,0.515625
34,0.512276366353035,0.75,1.0864810943603516,0.515625
35,0.49297432601451874,0.765625,1.341482400894165,0.515625
36,0.4944554716348648,0.7890625,1.2784656286239624,0.515625
37,0.4964367151260376,0.76171875,1.3322333097457886,0.515625
38,0.49449528008699417,0.7734375,1.591318130493164,0.515625
39,0.4996098726987839,0.76171875,1.408629298210144,0.515625
40,0.47675346583127975,0.78515625,1.0841596126556396,0.515625
41,0.49310116469860077,0.76953125,0.8923376202583313,0.53125
42,0.47403354942798615,0.76171875,0.7940113544464111,0.53125
43,0.48945946991443634,0.78125,0.6627776622772217,0.640625
44,0.485210120677948,0.76953125,0.6247678995132446,0.625
45,0.5203810036182404,0.7578125,0.6293771266937256,0.6875
46,0.49164358526468277,0.76171875,0.6241888999938965,0.65625
47,0.4730222746729851,0.78125,0.6225160956382751,0.625
48,0.4540066346526146,0.7890625,0.6241821050643921,0.609375
49,0.47034354507923126,0.8046875,0.6954758167266846,0.625
50,0.4587508663535118,0.79296875,0.7398709058761597,0.59375
51,0.4722633510828018,0.79296875,0.7575994729995728,0.59375
52,0.46424539387226105,0.77734375,0.8015707731246948,0.546875
53,0.47017185389995575,0.7734375,0.7520123720169067,0.609375
54,0.4808484837412834,0.7890625,0.6369558572769165,0.625
55,0.46119524538517,0.796875,0.6367356777191162,0.625
56,0.4788990616798401,0.76953125,0.6384541392326355,0.671875
57,0.46511223167181015,0.796875,0.7092756628990173,0.5625
58,0.4512326344847679,0.81640625,0.8301306962966919,0.546875
59,0.48053891956806183,0.76171875,0.764545738697052,0.546875
60,0.46534348279237747,0.78515625,0.7449498772621155,0.546875
61,0.4231182187795639,0.83203125,0.7283670902252197,0.546875
62,0.452654168009758,0.8046875,0.7193210124969482,0.53125
63,0.4294235035777092,0.80859375,0.6823226809501648,0.59375
64,0.4394773915410042,0.80078125,0.6627833843231201,0.609375
65,0.456940121948719,0.7890625,0.6294665336608887,0.625
66,0.43759647011756897,0.81640625,0.6307510137557983,0.640625
67,0.4685648903250694,0.77734375,0.647963285446167,0.625
68,0.45911870896816254,0.7890625,0.7609677910804749,0.578125
69,0.4393954947590828,0.86328125,0.902749240398407,0.5
70,0.47343847900629044,0.78125,0.811596155166626,0.5625
71,0.46502862125635147,0.76953125,0.8235287666320801,0.5625
72,0.4335326626896858,0.8203125,0.7478488683700562,0.609375
73,0.473358154296875,0.7890625,0.7012220025062561,0.65625
74,0.4496028572320938,0.7890625,0.6823794841766357,0.65625
75,0.44881516695022583,0.8125,0.6508782505989075,0.65625
